,Slice,Mean Intensity
838,838,416.7596
839,839,405.8536
840,840,419.2084
841,841,422.3944
842,842,420.3904
843,843,421.5408
844,844,420.4668
845,845,421.4248
846,846,422.0724
847,847,420.5816
848,848,422.8852
849,849,425.0056
850,850,423.6812
851,851,422.5068
852,852,422.5972
853,853,420.83
854,854,423.6228
855,855,421.4132
856,856,421.1308
857,857,421.4724
858,858,420.2556
859,859,422.394
860,860,422.2584
861,861,423.0708
862,862,423.2476
863,863,421.7712
864,864,421.9788
865,865,421.7748
866,866,425.356
867,867,424.714
868,868,425.7328
869,869,461.8636
870,870,422.91
871,871,425.226
872,872,427.1648
873,873,426.2956
874,874,426.4084
875,875,426.9064
876,876,433.984
877,877,426.4604
878,878,427.9436
879,879,427.4908
880,880,426.0468
881,881,425.4056
882,882,425.4484
883,883,425.9928
884,884,424.6672
885,885,423.6704
886,886,425.8544
887,887,424.3532
888,888,424.35
889,889,425.6688
890,890,425.0696
891,891,427.8284
892,892,426.2956
893,893,425.5104
894,894,423.998
895,895,426.736
896,896,425.8516
897,897,426.8028
898,898,427.3832
899,899,426.4952
900,900,425.4424
901,901,426.222
902,902,425.6952
903,903,425.0388
904,904,424.5892
905,905,422.7796
906,906,423.6048
907,907,427.3488
908,908,420.24
909,909,426.8252
910,910,425.6168
911,911,427.36
912,912,426.9828
913,913,429.4336
914,914,427.818
915,915,429.6936
916,916,430.8504
917,917,428.776
918,918,427.8712
919,919,428.9804
920,920,428.708
921,921,430.3684
922,922,427.7996
923,923,427.7084
924,924,427.3668
925,925,430.1224
926,926,430.1908
927,927,430.374
928,928,430.9624
929,929,431.4944
930,930,428.4928
931,931,433.2516
932,932,430.1748
933,933,429.3216
934,934,429.4584
935,935,428.822
936,936,431.4448
937,937,429.2872
938,938,432.4336
939,939,432.3408
940,940,431.2608
941,941,431.2616
942,942,429.12
943,943,431.0948
944,944,430.8608
945,945,430.158
946,946,432.6148
947,947,436.0072
948,948,434.1792
949,949,434.5876
950,950,435.9932
951,951,436.4872
952,952,437.5488
953,953,436.3332
954,954,434.6064
955,955,432.3636
956,956,430.5056
957,957,431.326
958,958,430.884
959,959,431.2372
960,960,433.0792
961,961,432.1364
962,962,431.152
963,963,434.9856
964,964,431.5592
965,965,433.032
966,966,432.4016
967,967,431.974
968,968,431.0484
969,969,428.2408
970,970,432.9472
971,971,431.7104
972,972,431.072
973,973,432.5808
974,974,432.1668
975,975,432.8552
976,976,431.8584
977,977,434.4508
978,978,434.9328
979,979,433.6044
980,980,435.4032
981,981,435.3904
982,982,437.2604
983,983,437.5484
984,984,438.1848
985,985,437.684
986,986,440.5672
987,987,438.4624
988,988,436.04
989,989,438.8876
990,990,435.7836
991,991,437.2004
992,992,436.4156
993,993,438.12
994,994,433.8256
995,995,437.2632
996,996,438.8256
997,997,438.6432
998,998,437.8956
999,999,438.3028
1000,1000,439.3452
1001,1001,440.0444
1002,1002,438.53
1003,1003,438.8728
1004,1004,438.876
1005,1005,439.5736
1006,1006,428.4644
1007,1007,435.1148
1008,1008,433.4212
1009,1009,435.7848
1010,1010,435.2456
1011,1011,435.1488
1012,1012,431.4628
1013,1013,435.1276
1014,1014,434.794
1015,1015,435.1616
1016,1016,434.3816
1017,1017,432.136
1018,1018,433.5048
1019,1019,435.6864
1020,1020,435.0928
1021,1021,431.642
1022,1022,436.9264
1023,1023,437.2712
1024,1024,437.0316
1025,1025,436.728
1026,1026,434.7888
1027,1027,437.3396
1028,1028,436.9228
1029,1029,432.9816
1030,1030,437.9192
1031,1031,439.1904
1032,1032,438.8096
1033,1033,440.2488
1034,1034,439.2312
1035,1035,437.824
1036,1036,439.4
1037,1037,438.832
1038,1038,439.9516
1039,1039,437.2276
1040,1040,440.4432
1041,1041,441.3964
1042,1042,440.0288
1043,1043,440.0552
1044,1044,440.5084
1045,1045,440.4692
1046,1046,440.3408
1047,1047,441.8356
1048,1048,442.6088
1049,1049,443.6112
1050,1050,442.4944
1051,1051,441.4088
1052,1052,439.5612
1053,1053,439.804
1054,1054,440.376
1055,1055,438.2948
1056,1056,438.266
1057,1057,438.66
1058,1058,438.72
1059,1059,437.786
1060,1060,438.7544
1061,1061,439.4136
1062,1062,441.3056
1063,1063,437.2884
1064,1064,438.9792
1065,1065,439.8388
1066,1066,440.326
1067,1067,437.36
1068,1068,434.7388
1069,1069,441.3408
1070,1070,440.3884
1071,1071,442.662
1072,1072,441.5416
1073,1073,442.63
1074,1074,439.4348
1075,1075,438.8552
1076,1076,439.2848
1077,1077,440.0288
1078,1078,441.3556
1079,1079,439.758
1080,1080,440.3252
1081,1081,441.4544
1082,1082,441.6164
1083,1083,440.4756
1084,1084,438.0688
1085,1085,438.8324
1086,1086,438.2724
1087,1087,440.9424
1088,1088,439.276
1089,1089,438.9516
1090,1090,439.3148
1091,1091,433.3064
1092,1092,440.87
1093,1093,439.4628
1094,1094,439.59
1095,1095,438.048
1096,1096,437.624
1097,1097,440.4204
1098,1098,442.328
1099,1099,442.0792
1100,1100,442.1232
1101,1101,442.4404
1102,1102,442.9604
1103,1103,442.128
1104,1104,442.874
1105,1105,443.6536
1106,1106,454.2592
1107,1107,441.054
1108,1108,442.1504
1109,1109,441.698
1110,1110,428.6124
1111,1111,437.8372
1112,1112,436.6184
1113,1113,437.976
1114,1114,440.5048
1115,1115,440.4816
1116,1116,440.128
1117,1117,436.2824
1118,1118,436.8264
1119,1119,440.3936
1120,1120,440.764
1121,1121,442.0184
1122,1122,443.122
1123,1123,442.6016
1124,1124,441.964
1125,1125,440.6624
1126,1126,439.7628
1127,1127,441.3992
1128,1128,444.934
1129,1129,441.802
1130,1130,441.4984
1131,1131,441.1568
1132,1132,440.8256
1133,1133,444.0264
1134,1134,442.6584
1135,1135,441.7412
1136,1136,443.0768
1137,1137,445.5952
1138,1138,446.0968
1139,1139,442.8476
1140,1140,442.5784
1141,1141,443.0636
1142,1142,441.8928
1143,1143,445.1168
1144,1144,445.4064
1145,1145,442.6532
1146,1146,444.6412
1147,1147,446.3284
1148,1148,445.0932
1149,1149,443.044
1150,1150,442.638
1151,1151,440.7036
1152,1152,442.4032
1153,1153,442.5696
1154,1154,443.1744
1155,1155,441.1644
1156,1156,443.3676
1157,1157,442.8004
1158,1158,445.1528
1159,1159,445.4004
1160,1160,445.3932
1161,1161,445.7032
1162,1162,445.9176
1163,1163,444.3672
1164,1164,445.3856
1165,1165,441.2268
1166,1166,445.8116
1167,1167,445.3896
1168,1168,447.262
1169,1169,446.7112
1170,1170,446.458
1171,1171,447.0956
1172,1172,446.4588
1173,1173,444.9308
1174,1174,447.2016
1175,1175,444.2912
1176,1176,450.0
1177,1177,450.1512
1178,1178,450.0256
1179,1179,450.3048
1180,1180,446.3548
1181,1181,443.378
1182,1182,482.3552
1183,1183,445.3512
1184,1184,445.4404
1185,1185,443.4608
1186,1186,444.728
1187,1187,443.906
1188,1188,442.9084
1189,1189,445.1204
1190,1190,442.8776
1191,1191,440.592
1192,1192,442.6076
1193,1193,440.4668
1194,1194,441.9652
1195,1195,440.546
1196,1196,366.7644
1197,1197,342.5576
1198,1198,331.4952
1199,1199,326.0544
1200,1200,319.5708
1201,1201,317.774
1202,1202,315.3976
1203,1203,312.904
1204,1204,310.808
1205,1205,310.3412
1206,1206,308.7896
1207,1207,307.3572
1208,1208,306.6344
1209,1209,305.4416
1210,1210,304.4348
1211,1211,304.5528
1212,1212,302.824
1213,1213,301.5344
1214,1214,301.7728
1215,1215,299.7148
1216,1216,300.178
1217,1217,299.6748
1218,1218,300.8328
1219,1219,299.5872
1220,1220,298.434
1221,1221,297.2404
1222,1222,297.94
1223,1223,297.544
1224,1224,298.2532
1225,1225,298.4836
1226,1226,300.0356
1227,1227,298.8216
1228,1228,297.1012
1229,1229,296.4808
1230,1230,295.528
1231,1231,296.064
1232,1232,295.3548
1233,1233,296.6324
1234,1234,295.6596
1235,1235,296.6948
1236,1236,295.6348
1237,1237,292.8512
1238,1238,297.2648
1239,1239,294.6024
1240,1240,292.8848
1241,1241,291.8836
1242,1242,294.1204
1243,1243,293.8648
1244,1244,296.9964
1245,1245,296.1436
1246,1246,294.3988
1247,1247,293.4328
1248,1248,291.6924
1249,1249,293.312
1250,1250,295.3208
1251,1251,293.5664
1252,1252,293.5452
1253,1253,293.5236
1254,1254,292.7296
1255,1255,293.0848
1256,1256,292.5308
1257,1257,292.18
1258,1258,291.6292
1259,1259,294.9176
1260,1260,294.5228
1261,1261,295.552
1262,1262,294.7572
1263,1263,293.3468
1264,1264,291.5132
1265,1265,293.286
1266,1266,292.1484
1267,1267,291.5996
1268,1268,291.3192
1269,1269,292.33
1270,1270,291.8548
1271,1271,291.3668
1272,1272,293.432
1273,1273,293.1572
1274,1274,292.0192
1275,1275,293.132
1276,1276,293.1552
1277,1277,293.2492
1278,1278,293.3328
1279,1279,292.5252
1280,1280,292.0392
1281,1281,294.7544
1282,1282,292.7176
1283,1283,292.53
1284,1284,293.1164
1285,1285,295.3616
1286,1286,294.2496
1287,1287,293.906
1288,1288,294.802
1289,1289,293.23
1290,1290,293.4716
1291,1291,294.154
1292,1292,295.1216
1293,1293,294.5396
1294,1294,294.6588
1295,1295,294.036
1296,1296,293.7664
1297,1297,293.3296
1298,1298,292.5176
1299,1299,292.3868
1300,1300,291.698
1301,1301,292.4988
1302,1302,295.8608
1303,1303,296.1236
1304,1304,296.8648
1305,1305,296.0636
1306,1306,297.2948
1307,1307,296.1724
1308,1308,295.7932
1309,1309,294.89
1310,1310,294.0508
1311,1311,294.6008
1312,1312,293.688
1313,1313,293.034
1314,1314,292.9932
1315,1315,294.004
1316,1316,294.882
1317,1317,294.4708
1318,1318,293.066
1319,1319,294.2204
1320,1320,292.6736
1321,1321,293.0512
1322,1322,292.6656
1323,1323,292.8224
1324,1324,292.2372
1325,1325,290.864
1326,1326,291.7644
1327,1327,293.3092
1328,1328,292.3284
1329,1329,292.8532
1330,1330,291.8156
1331,1331,293.0684
1332,1332,293.1188
1333,1333,291.2176
1334,1334,291.6772
1335,1335,291.6376
1336,1336,289.3944
1337,1337,292.2124
1338,1338,292.7956
1339,1339,292.65
1340,1340,293.9252
1341,1341,292.6384
1342,1342,294.4712
1343,1343,293.0608
1344,1344,293.876
1345,1345,292.6184
1346,1346,293.7392
1347,1347,290.66
1348,1348,292.182
1349,1349,291.7708
1350,1350,291.6428
1351,1351,290.8764
1352,1352,290.7788
1353,1353,292.0084
1354,1354,290.9564
1355,1355,291.864
1356,1356,291.0624
1357,1357,292.55
1358,1358,294.2796
1359,1359,292.4996
1360,1360,293.8568
1361,1361,293.586
1362,1362,294.28
1363,1363,295.474
1364,1364,293.1308
1365,1365,294.1024
1366,1366,293.4508
1367,1367,292.9696
1368,1368,292.386
1369,1369,293.3168
1370,1370,291.4144
1371,1371,294.4116
1372,1372,293.0308
1373,1373,292.4924
1374,1374,292.8152
1375,1375,294.5932
1376,1376,294.5936
1377,1377,293.7124
1378,1378,294.4444
1379,1379,293.1924
1380,1380,293.596
1381,1381,293.666
1382,1382,293.1244
1383,1383,293.8412
1384,1384,294.3868
1385,1385,294.7296
1386,1386,295.9932
1387,1387,297.7156
1388,1388,298.1828
1389,1389,295.626
1390,1390,297.9548
1391,1391,299.1624
1392,1392,299.0344
1393,1393,300.478
1394,1394,297.9252
1395,1395,298.2752
1396,1396,298.3228
1397,1397,297.564
1398,1398,292.3084
1399,1399,293.1468
1400,1400,295.246
1401,1401,294.9256
1402,1402,294.2084
1403,1403,293.0672
1404,1404,287.408
1405,1405,294.5972
1406,1406,295.1864
1407,1407,295.2156
1408,1408,294.584
1409,1409,294.9908
1410,1410,295.7764
1411,1411,295.202
1412,1412,295.2164
1413,1413,294.492
1414,1414,295.404
1415,1415,293.3652
1416,1416,294.1244
1417,1417,293.3624
1418,1418,292.8328
1419,1419,303.164
1420,1420,293.0536
1421,1421,292.4816
1422,1422,292.4188
1423,1423,290.6088
1424,1424,290.212
1425,1425,289.3028
1426,1426,291.3716
1427,1427,291.9156
1428,1428,290.374
1429,1429,292.1712
1430,1430,291.3448
1431,1431,293.0012
1432,1432,293.8808
1433,1433,293.8824
1434,1434,290.3872
1435,1435,293.8704
1436,1436,291.1868
1437,1437,294.4948
1438,1438,291.4108
1439,1439,293.3364
1440,1440,292.2812
1441,1441,292.0952
1442,1442,292.6852
1443,1443,293.4428
1444,1444,292.1504
1445,1445,294.9732
1446,1446,293.71
1447,1447,294.1844
1448,1448,294.458
1449,1449,296.3996
1450,1450,296.0524
1451,1451,294.7328
1452,1452,291.4904
1453,1453,294.516
1454,1454,295.4396
1455,1455,296.1848
1456,1456,296.8844
1457,1457,289.2932
1458,1458,293.552
1459,1459,294.3916
1460,1460,294.2736
1461,1461,290.2788
1462,1462,295.0888
1463,1463,298.5972
1464,1464,298.8852
1465,1465,298.5588
1466,1466,295.2796
1467,1467,293.85
1468,1468,289.6468
1469,1469,293.836
1470,1470,293.7096
1471,1471,296.7712
1472,1472,289.6212
1473,1473,296.6764
1474,1474,299.0684
1475,1475,300.6028
1476,1476,300.8808
1477,1477,300.3052
1478,1478,297.3768
1479,1479,295.5012
1480,1480,295.9316
1481,1481,294.3312
1482,1482,293.4488
1483,1483,291.7732
1484,1484,293.0576
1485,1485,291.6404
1486,1486,290.9432
1487,1487,288.872
1488,1488,289.1072
1489,1489,289.0524
1490,1490,289.4436
1491,1491,291.1928
1492,1492,289.8208
1493,1493,291.804
1494,1494,290.7088
1495,1495,288.3288
1496,1496,290.5656
1497,1497,292.1264
1498,1498,292.8312
1499,1499,293.1336
1500,1500,294.1136
1501,1501,294.9732
1502,1502,291.9132
1503,1503,296.23
1504,1504,294.8328
1505,1505,296.1068
1506,1506,290.1916
1507,1507,294.0832
1508,1508,296.2212
1509,1509,294.3076
1510,1510,294.638
1511,1511,293.4704
1512,1512,293.6568
1513,1513,294.2184
1514,1514,294.556
1515,1515,295.9112
1516,1516,294.748
1517,1517,294.644
1518,1518,293.5624
1519,1519,294.8832
1520,1520,293.876
1521,1521,305.1368
1522,1522,294.8592
1523,1523,294.8876
1524,1524,293.5084
1525,1525,295.0492
1526,1526,295.5832
1527,1527,294.924
1528,1528,293.51
1529,1529,296.4476
1530,1530,295.6464
1531,1531,293.5864
1532,1532,292.3768
1533,1533,293.2364
1534,1534,292.4832
1535,1535,293.1272
1536,1536,291.9092
1537,1537,292.3336
1538,1538,295.7424
1539,1539,296.5836
1540,1540,296.7136
1541,1541,297.6488
1542,1542,297.9944
1543,1543,298.036
1544,1544,298.6132
1545,1545,296.8436
1546,1546,294.8396
1547,1547,294.3532
1548,1548,293.8692
1549,1549,295.6868
1550,1550,295.652
1551,1551,294.0316
1552,1552,294.6924
1553,1553,296.4468
1554,1554,296.396
1555,1555,294.3424
1556,1556,296.0328
1557,1557,294.8552
1558,1558,294.7308
1559,1559,293.6504
1560,1560,293.1184
1561,1561,293.602
1562,1562,293.0728
1563,1563,293.83
1564,1564,293.2164
1565,1565,294.8412
1566,1566,294.8744
1567,1567,296.2528
1568,1568,292.9936
1569,1569,295.1228
1570,1570,295.0708
1571,1571,293.818
1572,1572,293.8248
1573,1573,293.8956
1574,1574,294.5864
1575,1575,294.7152
1576,1576,295.6468
1577,1577,294.784
1578,1578,293.9876
1579,1579,294.9644
1580,1580,293.3932
1581,1581,294.702
1582,1582,294.3536
1583,1583,292.4292
1584,1584,291.7156
1585,1585,292.5296
1586,1586,294.3648
1587,1587,293.2832
1588,1588,292.346
1589,1589,292.238
1590,1590,292.296
1591,1591,293.0232
1592,1592,292.506
1593,1593,292.7072
1594,1594,293.9428
1595,1595,291.4876
